CustomerID,Customer,Segment,FirstOrderDate,LastOrderDate,LifetimeOrders,FirstOrderYear,OrderBand,OrderBandSort
AA-10315,Alex Avila,Consumer,2021-03-31,2024-06-29,5,2021,4-6 orders,3
AA-10375,Allen Armold,Consumer,2021-04-21,2024-12-11,9,2021,7+ orders,4
AA-10480,Andrew Allen,Consumer,2021-05-04,2024-04-15,4,2021,4-6 orders,3
AA-10645,Anna Andreadi,Consumer,2021-06-22,2024-11-05,6,2021,4-6 orders,3
AB-10015,Aaron Bergman,Consumer,2021-02-18,2023-11-10,3,2021,2-3 orders,2
AB-10060,Adam Bellavance,Home Office,2022-09-18,2024-11-06,8,2022,7+ orders,4
AB-10105,Adrian Barton,Consumer,2021-12-20,2024-11-19,10,2021,7+ orders,4
AB-10150,Aimee Bixby,Consumer,2021-03-05,2024-11-19,5,2021,4-6 orders,3
AB-10165,Alan Barnes,Consumer,2021-11-16,2024-12-05,8,2021,7+ orders,4
AB-10255,Alejandro Ballentine,Home Office,2021-07-22,2024-07-17,9,2021,7+ orders,4
AB-10600,Ann Blume,Corporate,2021-11-18,2024-11-10,4,2021,4-6 orders,3
AC-10420,Alyssa Crouse,Corporate,2021-07-12,2024-05-12,3,2021,2-3 orders,2
AC-10450,Amy Cox,Consumer,2021-10-31,2024-12-19,7,2021,7+ orders,4
AC-10615,Ann Chong,Corporate,2022-09-15,2024-12-24,5,2022,4-6 orders,3
AC-10660,Anna Chung,Consumer,2021-10-15,2024-03-23,5,2021,4-6 orders,3
AD-10180,Alan Dominguez,Home Office,2021-11-19,2024-12-01,8,2021,7+ orders,4
AF-10870,Art Ferguson,Consumer,2022-12-06,2024-11-19,7,2022,7+ orders,4
AF-10885,Art Foster,Consumer,2021-05-10,2023-11-10,4,2021,4-6 orders,3
AG-10270,Alejandro Grove,Consumer,2021-05-13,2024-03-27,5,2021,4-6 orders,3
AG-10300,Aleksandra Gannaway,Corporate,2021-04-26,2024-09-03,4,2021,4-6 orders,3
AG-10330,Alex Grayson,Consumer,2023-08-03,2024-12-22,5,2023,4-6 orders,3
AG-10390,Allen Goldenen,Consumer,2021-04-19,2024-09-07,5,2021,4-6 orders,3
AG-10495,Andrew Gjertsen,Corporate,2022-01-04,2024-10-13,7,2022,7+ orders,4
AG-10525,Andy Gerbode,Corporate,2021-08-09,2022-09-07,4,2021,4-6 orders,3
AG-10675,Anna Gayman,Consumer,2022-05-07,2024-09-24,7,2022,7+ orders,4
AG-10765,Anthony Garverick,Home Office,2021-09-17,2024-10-14,4,2021,4-6 orders,3
AG-10900,Arthur Gainer,Consumer,2021-07-23,2024-09-25,10,2021,7+ orders,4
AH-10030,Aaron Hawkins,Corporate,2021-04-22,2024-12-18,7,2021,7+ orders,4
AH-10075,Adam Hart,Corporate,2021-11-16,2024-11-26,10,2021,7+ orders,4
AH-10120,Adrian Hane,Home Office,2021-07-18,2024-10-31,7,2021,7+ orders,4
AH-10195,Alan Haines,Corporate,2022-03-05,2024-11-05,4,2022,4-6 orders,3
AH-10210,Alan Hwang,Consumer,2021-11-29,2024-12-24,9,2021,7+ orders,4
AH-10465,Amy Hunt,Consumer,2022-01-03,2024-05-14,5,2022,4-6 orders,3
AH-10585,Angele Hood,Consumer,2021-10-26,2024-12-09,4,2021,4-6 orders,3
AH-10690,Anna Häberlin,Corporate,2021-04-02,2023-11-15,12,2021,7+ orders,4
AI-10855,Arianne Irving,Consumer,2021-04-28,2024-12-17,10,2021,7+ orders,4
AJ-10780,Anthony Jacobs,Corporate,2021-01-10,2024-10-16,7,2021,7+ orders,4
AJ-10795,Anthony Johnson,Corporate,2021-05-14,2024-07-17,7,2021,7+ orders,4
AJ-10945,Ashley Jarboe,Consumer,2021-03-03,2024-08-31,6,2021,4-6 orders,3
AJ-10960,Astrea Jones,Consumer,2021-09-14,2024-10-17,3,2021,2-3 orders,2
AM-10360,Alice McCarthy,Corporate,2021-10-06,2024-12-02,5,2021,4-6 orders,3
AM-10705,Anne McFarland,Consumer,2021-10-31,2024-07-21,8,2021,7+ orders,4
AO-10810,Anthony O'Donnell,Corporate,2023-08-16,2023-08-16,1,2023,1 order,1
AP-10720,Anne Pryor,Home Office,2021-03-03,2024-11-19,6,2021,4-6 orders,3
AP-10915,Arthur Prichep,Consumer,2021-08-23,2024-09-23,10,2021,7+ orders,4
AR-10345,Alex Russell,Corporate,2021-12-30,2024-09-10,4,2021,4-6 orders,3
AR-10405,Allen Rosenblatt,Corporate,2021-10-03,2024-08-27,5,2021,4-6 orders,3
AR-10510,Andrew Roberts,Consumer,2021-05-02,2024-12-16,5,2021,4-6 orders,3
AR-10540,Andy Reiter,Consumer,2021-11-25,2024-12-24,6,2021,4-6 orders,3
AR-10570,Anemone Ratner,Consumer,2023-07-14,2023-07-14,1,2023,1 order,1
AR-10825,Anthony Rawles,Corporate,2021-06-30,2024-11-02,8,2021,7+ orders,4
AS-10045,Aaron Smayling,Corporate,2021-07-27,2024-10-03,7,2021,7+ orders,4
AS-10090,Adam Shillingsburg,Consumer,2021-09-22,2024-12-02,9,2021,7+ orders,4
AS-10135,Adrian Shami,Home Office,2023-11-13,2024-11-19,2,2023,2-3 orders,2
AS-10225,Alan Schoenberger,Corporate,2021-10-18,2024-12-08,5,2021,4-6 orders,3
AS-10240,Alan Shonely,Consumer,2021-03-15,2024-06-21,5,2021,4-6 orders,3
AS-10285,Alejandro Savely,Corporate,2023-05-21,2024-12-11,6,2023,4-6 orders,3
